1,samsung ,galaxy J3,8,5,8990
2,xiomi,redmi note 3,16,5.5,9998
3,xiomi,redmi 3,13,5,7199
4,micromax,canvas sparks 3,8,5.5,5000
5,lenovo ,Vibe k5,13,5,8499
6,samsung ,galaxy j2,5,4.7,7580
7,motorola,moto g3,13,5,9999
8,lenovo ,k3 note,13,5.5,9199
9,xiomi,redmi pro 3,13,5,9999
10,coolpad,note 3,13,5,6999
11,lenovo ,lemon 3,13,5,7499
12,samsung ,galaxy on5,8,5,8190
13,xiomi,redmi note 2,13,5.5,9999
14,micromax,canvas 5,13,5.2,9999
15,micromax,canvas mega 4G,13,5.5,8638
16,xiomi,redmi 2 prime,8,4.7,6999
17,asus,Zenfone Max ZC550,13,5.5,9599
18,lenovo ,A6000,8,5,6999
19,lenovo ,Vibe p1m,8,5,7500
20,coolpad,note 3,13,5.5,9000
21,asus,Zenfone 2 Laser,13,5.5,9999
22,samsung ,tizen z3,8,5,6930
23,motorola,moto e2,5,4.5,6999
24,micromax,yu yuphoria ,8,5,7290
25,micromax,canvas sparks ,8,4.7,5999
26,samsung ,galaxy star pro duos,2,4,4600
27,micromax,canvas xpress 2,13,5,6199
28,samsung ,galaxy grand prime,8,5,8249
29,micromax,yu yu5200,13,5.2,8999
30,micromax,canvas xpress 4g,8,5,6599
31,samsung ,galaxy j1,5,4.3,5990
32,lenovo ,a7000,8,5.5,7949
33,lenovo ,a2010,5,4.5,4990
34,htc,desire 526G plus,8,4.7,7399
35,htc,desire 620 dual sim,8,5,8389
36,micromax,canvas juice 3,8,5.5,7199
37,xiomi,redmi note prime,13,5.5,7999
38,micromax,canvas fire,8,4.7,5699
39,samsung ,galaxy core prime ,5,4.5,5990
40,samsung ,galaxy core 2,5,4.5,6799
41,lg,k7,5,5,8999
42,samsung ,galaxy s duos,5,4,8899
43,micromax,canvas juice 2,8,5,6249
44,asus,zenfone 2 ze551ml,13,5.5,9999
45,samsung ,grand prime ,8,5,8250
46,micromax,canvas silver 5,8,4.7,6691
47,coolpad,dazen 1,8,5,6299
48,micromax,canvas nitro 3,13,5,7999
49,motorola,moto e 2 4G,5,4.5,6999
50,micromax,unite 3,8,4.7,5729
51,xiomi,redmi note 3 32gb,16,5.5,11998
52,samsung , galaxy j7,13,5.5,14150
53,samsung ,galaxy j5,13,5,11379
54,micromax,canvas 6 ,13,5.5,13999
55,lenovo ,k4 note,13,5.5,11999
56,leaco,le 1s,13,5.5,10999
57,motorola,moto g turbo,13,5,12499
58,samsung ,galaxy on7,13,5.5,10190
59,xiomi,redmi 3 proffesional,13,5,10000
60,lenovo,k5 note,13,5.5,11999
61,micromax,canvas 5,13,5.2,10000
62,samsung ,galaxy j5,13,5.2,12999
63,samsung ,galaxy s4,13,5,11990
64,htc,desire 626 plus ,13,5,10195
65,lg,k10,13,5.3,12740
66,micromax,yu yureka note,13,6,13499
67,leaco,le2 ,16,5.5,11599
68,xiomi,mi4,13,5,14789
69,samsung ,galaxy e5 ,8,5,11490
70,htc,desire 728 ,13,5.5,14399
71,xiomi,mi4i,13,5,11999
72,lenovo ,vibe p1,13,5.5,14999
73,asus,zenfone 2 Laser ZE550KL  3GB,13,5.5,12888
74,htc ,desire 820G plus,13,5.5,13595
75,asus,zenfone 2 ze551ml 2GB,12,5.5,10999
76,lenovo ,vibe s1,13,5,14999
77,lenovo ,k3 note music ,13,5.5,10000
78,asus,zenfone 3,16,5.5,14999
79,samsung ,galaxy grand max,13,5.25,14999
80,lenovo ,a7000 turbo,13,5.5,10199
81,apple ,iphone 4s 8GB,8,3.5,13499
82,samsung ,galaxy grand 2 ,8,5.25,11499
83,lenovo,a7010,13,5.5,10999
84,lenovo ,p70,13,5,10000
85,lg, g3 stylus ,13,5.5,11000
86,lg ,g4 stylus ,13,5.5,10000
87,asus ,zenfone selfie ZD551KL,13,5.5,14849
88,motorola,moto x 2nd gen,13,5.2,14999
89,samsung ,grand quattro,5,4.7,10000
90,micromax,canvas knight 2 4g,13,5,10999
91,samsung ,galaxy mega 2,8,6,13999
92,lenovo ,s90 sisley,13,5,10990
93,lg ,magna,8,5,10000
94,samsung ,galaxy a3,8,4.5,13490
95,htc ,desire 520,8,4.5,10990
96,samsung ,galaxy s2 plus ,8,4.3,13900
97,xiomi,mi 4c,13,5,13999
98,lenovo,vibe s1 lite,13,5,13299
99,lg,G3 beat,8,5,10650
100,asus,pegasus 5000,13,5.5,12999
